Redump Game Name (Region Dupes),Dupe 1,Dupe 2,Dupe 3,Dupe 4,Dupe 5,Dupe 6,Notes
"King of Fighters 2006, The (USA)","King of Fighters, The - Maximum Impact 2 (Europe) (En,Fr,De,Es,It)",,,,,,
King's Field - The Ancient City (USA),"King's Field IV (Europe) (En,Fr,De,Es,It)",,,,,,
KOF - Maximum Impact (USA),"King of Fighters, The - Maximum Impact (Europe) (En,Ja)",,,,,,
Made Man - Confessions of the Family Blood (USA),Made Man (Europe),"Made Man (Europe) (En,Fr,De,Es,It)",,,,,
Mister Mosquito (USA),"Mr Moskeeto (Europe) (En,Fr,Es,It)",,,,,,
Mountain Bike Adrenaline (USA),"Mountain Bike Adrenaline featuring Salomon (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
MTV Music Generator 3 - This Is the Remix (USA),"MTV Music Generator 3 (Europe) (En,Fr,De,Es,It)",,,,,,
"MX World Tour featuring Jamie Little (USA) (En,Es)","MX World Tour (Europe) (En,Fr,De,Es,It)",,,,,,
NBA 08 featuring The Life Vol. 3 (USA),"NBA 08 (Europe) (En,Fr,De,Es,It)",,,,,,
Nickelodeon Avatar - The Last Airbender - Into the Inferno (USA),"Nickelodeon Avatar - The Legend of Aang - Into the Inferno (Europe) (En,De,Nl,Sv,No,Da,Fi)",Nickelodeon Avatar - The Legend of Aang - Into the Inferno (Australia),,,,,
Nickelodeon Avatar - The Last Airbender - The Burning Earth (USA),"Nickelodeon Avatar - The Legend of Aang - The Burning Earth (Europe) (En,Fr,De,Nl)",,,,,,
Nickelodeon Avatar - The Last Airbender (USA),"Nickelodeon Avatar - The Legend of Aang (Europe, Australia) (En,Fr,De,Nl) (v2.01)","Nickelodeon Avatar - The Legend of Aang (Europe) (En,Fr,De,Nl) (v1.00)",,,,,
Nickelodeon Jimmy Neutron - Boy Genius - Jet Fusion (USA),Nickelodeon The Adventures of Jimmy Neutron - Boy Genius - Jet Fusion (Europe),,,,,,
Nicktoons - Attack of the Toybots (USA),"Nickelodeon SpongeBob and Friends - Attack of the Toybots (Europe) (En,Fr,De,Es,It,Nl)",,,,,,
Nicktoons - Battle for Volcano Island (USA),"Nickelodeon SpongeBob and Friends - Battle for Volcano Island (Europe) (En,Fr,De,It,Nl)",,,,,,
Nicktoons Movin' (USA),Nickelodeon SpongeBob SquarePants - Movin' with Friends (Europe),,,,,,
Nicktoons Unite! (USA),"Nickelodeon SpongeBob SquarePants and Friends Unite! (Europe) (En,Fr,De,Es,It,Nl)",,,,,,
NPPL Championship Paintball 2009 (USA),"Millennium European Paintball Series, The - Championship Paintball 2009 (Europe)",,,,,,
"ObsCure - The Aftermath (USA) (En,Fr,Es)","ObsCure II (Europe) (En,Fr,De,Es,It)",,,,,,
Onimusha 3 - Demon Siege (USA),"Onimusha 3 (Europe, Australia) (En,Fr,De,Es,It)",,,,,,
Pac-Man World Rally (USA),"Pac-Man Rally (Europe) (En,Fr,De,Es,It)",,,,,,
PDC World Championship Darts (USA),"PDC World Championship Darts 2008 (Europe) (En,Fr,De,Es,It,Nl)",,,,,,
Petz - Catz 2 (USA),"Catz (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)","Catz (Europe, Australia) (En,Fr,De,Es,It,Nl)",,,,,
Petz - Dogz 2 (USA),"Dogz (Europe) (En,Fr,De,Es,It,Nl)","Dogz (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)",,,,,
Petz - Horsez 2 (USA),"Pippa Funnell - Ranch Rescue (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da)",,,,,,
Pinball Hall of Fame - The Gottlieb Collection (USA),"Pinball Hall of Fame - The Gottlieb Collection (Europe) (En,Fr,De,Es,It,Pt)","Gottlieb Pinball Classics (Europe) (En,Fr,De,Es,It)",,,,,
"Pirates - Legend of the Black Buccaneer (USA) (En,Fr,Es)","Black Buccaneer (Europe) (En,Fr,De,Es,It)",,,,,,
Power Drome (USA),"Powerdrome (Europe) (En,Fr,De,Es,It)",,,,,,
Power Rangers - Super Legends - 15th Anniversary (USA),"Power Rangers - Super Legends (Europe) (En,Fr,De,Es,It)",,,,,,
